fromStopId,toStopId,routeId,orientation,averageSpeed,sampleCount
501150,501200,142,1,13,8091,2
501450,501500,131,0,28,4409,187
516195,516139,377,0,26,2530,116
500058,517014,376,1,32,8124,78
518019,518112,385,1,28,6727,73
602101,502101,427,1,27,0505,48213
518187,514444,385,1,41,1947,13
512165,512166,324,1,26,3035,17669
517258,517259,370,1,36,7618,1
515127,515128,353,1,22,5463,220
514535,514209,142,1,35,6890,9
501300,501350,142,1,25,0699,4
514213,514214,142,1,19,2623,4573
519289,519043,305,0,27,5971,2596
517200,517268,377,1,23,4122,36
515070,515071,651,1,28,9884,3068
502102,502200,441,1,40,6309,5
514218,514152,283,0,21,4635,292
518143,518162,282,0,48,7909,2
515088,515070,651,1,52,5276,2
517225,517204,3721,1,19,0425,76
504016,604016,131,0,47,1791,2
600102,500102,282,1,13,7689,3
519052,519067,302,0,23,6343,22159
500108,500110,322,1,24,5641,25121
514196,514197,347,1,35,3836,7
501701,501001,421,1,26,6539,1150
600107,500107,321,0,27,5421,46744
500151,500152,554,1,25,7826,5560
500161,514382,385,0,25,4506,761
502601,502651,452,1,25,9610,362
501101,501051,441,0,34,1088,116
501550,500601,437,0,20,1322,6228
514033,514037,251,0,39,6569,1
511256,511232,318,1,21,2830,203
514082,514095,283,1,32,6235,122
502150,502200,2273,1,36,4413,3
512195,512057,272,0,10,0028,3
502201,502101,441,0,25,2971,3
513256,500101,2212,0,24,1371,27
514372,514541,283,0,34,5931,2
519112,519079,305,0,25,6892,27482
514429,514210,347,0,42,9787,5
513252,513033,321,1,22,8513,6810
502701,503004,251,1,26,1686,107
511298,511275,251,0,31,0926,68
501851,501351,441,0,23,0369,117
511043,511361,217,1,24,2156,18
514428,514201,142,0,42,8856,526
512040,512207,272,1,2,7689,1
502650,502600,251,0,23,7899,112
516065,516067,272,1,31,8932,6
502050,502102,441,1,43,3225,9
511337,511221,318,1,58,1588,33
600161,500161,353,0,25,3243,443
514249,514483,357,1,14,2805,553
512103,512104,305,0,35,1400,435
516169,516170,2212,1,24,3790,4
517167,517050,373,0,21,4036,2622
513153,513163,283,1,20,7298,2
513113,513048,2212,0,27,5920,51
502650,514379,283,1,25,7598,718
516073,516071,272,0,32,8772,164
513309,513215,336,1,48,5946,3
514417,514372,283,0,47,1855,13
502801,502851,150,1,24,5711,1270
514212,514213,355,0,19,2445,3
515012,515238,352,1,41,2233,90
514377,514443,283,1,30,7438,1072
502800,502750,150,0,27,4728,3162
514467,514194,347,1,23,8255,7
502200,502300,441,1,26,1382,122
513164,513301,332,1,41,3398,37
502951,501450,150,1,77,4289,1
515060,515194,353,0,24,9869,1615
517150,517203,3721,1,63,3796,1
500166,600166,353,0,24,2123,147
501753,501701,437,0,19,1594,2002
503005,502751,150,1,30,2941,3879
513215,513138,336,0,22,2722,13512
618196,518196,452,0,16,4026,361
512086,512087,323,1,28,2013,10137
519290,519026,272,1,40,0124,62
500850,501002,421,0,21,1618,2407
501550,500751,140,1,22,9518,20348
500114,500100,552,1,31,2420,6659
516067,516070,272,1,27,8297,22
502201,502151,421,1,45,2168,96
502400,500600,272,0,29,1019,1
500952,519025,272,0,24,7293,843
500603,502401,272,1,36,6341,8
512178,519165,305,0,21,1834,577
513114,513112,2212,1,32,5675,13
513138,513136,332,1,23,7207,398
502850,502750,452,0,21,9840,7
511232,511334,318,1,30,9712,92
514215,514054,347,0,19,7145,8
516024,516026,2273,0,73,0990,1
513044,513045,321,0,9,5574,11
516138,516141,377,0,27,9282,85
513168,513110,332,1,17,4871,2
519052,519281,306,0,23,8569,13946
513141,513142,283,1,31,7145,60
511278,511279,251,1,26,3603,2035
514551,518188,385,0,22,4961,1
511422,511423,271,1,50,8270,1
511033,502310,3133,0,20,3515,150
514097,514218,283,0,25,2706,203
518149,516168,2212,1,14,0851,5
512174,512175,324,1,25,9163,54
519079,512101,305,0,25,0550,25156
500250,500300,431,1,52,0953,5
501150,501200,441,1,18,2876,697
517248,517034,3721,1,35,8118,6
604009,504009,437,0,19,8122,377
514532,514531,385,1,24,2915,2
514214,514215,347,0,30,4067,5
513075,513076,722,1,13,7026,13370
519099,519100,304,1,23,8654,84
516070,516072,272,1,24,9266,38
514054,514055,347,0,32,1785,7
500100,500101,552,1,21,6376,68424
519026,501405,272,1,32,9393,4
514195,514196,142,0,28,0408,1827
516234,515144,2211,0,42,4502,5
601851,601855,271,1,20,7323,4
514014,514012,2212,1,22,6213,20
516139,511276,2212,1,14,7052,5
500800,500900,272,0,35,3388,2
501251,501201,142,0,17,4888,4
